ecc,scan_type,category,event,pl,judgment,source_dir,AffineParam_a,AffineParam_b,AffineParam_c,AffineParam_d,AffineParam_e,AffineParam_f,NumOfPics,Gap,PxLen,ThickOfBase,ThickOfEmul,lens_StagePos_x,lens_StagePos_y,lens_SurfacePos,stage_StagePos_x,stage_StagePos_y,stage_SurfacePos,Track_ax,Track_ay,Track_x,Track_y,scale_x,scale_y,det,det_dev,scale_dev,rotation_deg,nonortho,translation_mag,outcome,n_dirs,n_events
4,FTS,IMG,10856,47,j:OK,K:\NINJA\E71a\ManualCheck\ScanData\FTS\ECC4\IMG\Event10856\PL047,1.0003439622702044,0.0013649026249993,-0.0015395933682541,1.0003150128969105,-182185.95282889617,-36978.21379225654,200,0.5,0.156,210,70,-147763.6364625514,7288.034833050629,4857.5,-147766.83065783995,7241.0478520774195,4857.5,0.0149,0.2237,34346.9,44258.2,1.0003451470358578,1.0003159440827294,1.0006611849146958,0.0006611849146958004,0.0003451470358577513,-0.0881818013048796,-0.00017459082053681782,185900.80608603777,OK,1,1
4,FTS,IMG,5414,49,k:Retake,K:\NINJA\E71a\ManualCheck\ScanData\PatternMatchFailed\FTS\ECC4\IMG\Event05414\PL049,0.902847358572314,0.0131290200886154,-0.0669405597230658,0.924586934701778,-291981.2762845203,-28408.12023174272,200,0.5,0.156,210,70,-213152.4387754268,-23459.155976303085,4843.5,-213177.8252690624,-23529.403569707203,4843.5,0.1285,0.3711,87114.8,11583.8,0.9053255720551816,0.9246801452338625,0.83563973571932,0.16436026428067996,0.0946744279448184,-4.240369603565374,-0.059773837295623744,293359.9955614919,FAIL,2,2
4,FTS,IMG,8782,49,j:OK,K:\NINJA\E71a\ManualCheck\ScanData\FTS\ECC4\IMG\Event08782\PL049,1.0004198148242778,0.0014910594394166,-0.0025007800675069,1.00041153248012,-177639.63049766247,-114103.46068601942,200,0.5,0.156,210,70,-137041.73172665713,-29712.36169467134,4872.0,-136999.82289768732,-29729.08435333468,4872.0,-0.1996,0.0791,40496.9,84440.9,1.0004229404576788,1.0004126436513454,1.0008352488835592,0.0008352488835592364,0.00042294045767876653,-0.14322371747560966,-0.0010092802967363388,211128.9607417041,OK,2,2
4,FTS,IMG,2899,49,j:OK,K:\NINJA\E71a\ManualCheck\ScanData\FTS\ECC4\IMG\Event02899\PL049,1.0005205336275331,-0.0005860578744063,-0.0005324502593994,1.000361464270684,-177378.7101773204,-193002.65549707756,200,0.5,0.156,210,70,-118654.88318508428,-142889.1583892041,4897.5,-118646.397995882,-142919.5188639639,4882.5,-0.0403,0.1445,58731.1,50096.3,1.0005206753054143,1.000361635940533,1.000881874005858,0.000881874005858041,0.0005206753054143309,-0.030491278048700936,-0.001118019007121251,262132.0885605069,OK,1,1
4,FTS,IMG,4089,51,j:OK,K:\NINJA\E71a\ManualCheck\ScanData\FTS\ECC4\IMG\Event04089\PL051,1.0003221289188595,-0.0054768331441518,0.004654557679485,1.000324598478065,-311161.68352156243,-38750.14304479343,200,0.5,0.156,210,70,-249505.00502293927,10007.582057552418,4814.75,-249517.7261319341,9968.279031712664,4814.75,0.06158,0.18681,61889.18,48414.64,1.0003329578255187,1.0003395913496531,1.0006723241952518,0.0006723241952517611,0.0003395913496531122,0.26659870673388114,-0.0008219759364888887,313565.2513879128,OK,3,3
4,FTS,IMG,1751,51,j:OK,K:\NINJA\E71a\ManualCheck\ScanData\FTS\ECC4\IMG\Event01751\PL051,1.0004202037044847,-0.0074686603556479,0.0067046526288285,1.0004392549728158,-310166.1368476109,-115664.1002279776,200,0.5,0.156,210,70,-245945.95183179068,-73454.48560942445,4829.75,-245982.67812913636,-73409.31803260776,4829.75,0.1732,-0.21615,64468.59,41804.18,1.0004426701950473,1.0004671327825172,1.0009097180271544,0.0009097180271544492,0.0004671327825171989,0.38398119727595953,-0.000763506235431565,331030.53715407965,OK,1,1
4,FTS,IMG,2899,51,j:OK,K:\NINJA\E71a\ManualCheck\ScanData\FTS\ECC4\IMG\Event02899\PL051,1.0006197084386856,-0.0044636722415835,0.0034082108688603,1.0002645879995768,-189451.58928828745,-194270.24189442935,200,0.5,0.156,210,70,-125703.53035414296,-144196.66110645825,4887.25,-125695.010898946,-144226.94356686954,4887.25,-0.0399,0.1443,63939.3,49812.2,1.0006255127755073,1.0002745474997567,1.0008996735419273,0.0008996735419273261,0.0006255127755072643,0.19515440448388727,-0.0010563747939806762,271353.7019640197,OK,1,1
4,FTS,IMG,6107,62,j:OK,K:\NINJA\E71a\ManualCheck\ScanData\FTS\ECC4\IMG\Event06107\PL062,1.000233207572122,-0.0054800765850886,0.0052529557694173,1.0002629031359864,-111436.36630509804,-111645.79892984092,200,0.5,0.156,210,70,11740.274358291868,-73340.86843640088,4840.25,11763.92314730138,-73310.72438559352,4840.25,-0.11337,-0.14291,123377.99,37677.07,1.0002470010324107,1.0002779146964158,1.000524958619025,0.0005249586190250177,0.00027791469641580413,0.30089925661139355,-0.00022689867422331575,157742.98131443586,OK,3,3
4,FTS,IMG,5851,62,j:OK,K:\NINJA\E71a\ManualCheck\ScanData\FTS\ECC4\IMG\Event05851\PL062,1.0002394585750776,-0.0037319082655734,0.0035806865945978,1.0002760991258135,-110028.29571682525,-268361.03923889087,200,0.5,0.156,210,70,-35280.65274643471,-197783.19640267527,4840.25,-35341.27379840707,-197755.118227779,4840.25,0.2881,-0.1347,74931.5,70318.2,1.000245867678069,1.0002830607491346,1.000528986609093,0.0005289866090929518,0.00028306074913464485,0.20510823833000924,-0.0001510467805243824,290041.15783751564,OK,1,1
4,FTS,IMG,4026,62,j:OK,K:\NINJA\E71a\ManualCheck\ScanData\FTS\ECC4\IMG\Event04026\PL062,1.0002487981591914,0.0068689277761022,-0.0069785401982682,1.0002844041392012,8797.757252919315,-189755.669006264,200,0.5,0.156,210,70,57397.59675672701,-173789.7187756916,4883.5,57335.924172592095,-173722.1712006358,4869.499999999999,0.2958,-0.3195,48413.7,16366.7,1.0002731418178765,1.0003079882380776,1.0005812081462233,0.000581208146223311,0.00030798823807764997,-0.39973495986528873,-0.00010982433983398865,189959.50740275183,OK,1,1
