ecc,scan_type,category,event,pl,judgment,source_dir,AffineParam_a,AffineParam_b,AffineParam_c,AffineParam_d,AffineParam_e,AffineParam_f,NumOfPics,Gap,PxLen,ThickOfBase,ThickOfEmul,lens_StagePos_x,lens_StagePos_y,lens_SurfacePos,stage_StagePos_x,stage_StagePos_y,stage_SurfacePos,Track_ax,Track_ay,Track_x,Track_y
4,UTS,IMG,8845,18,j:OK,K:\NINJA\E71a\ManualCheck\ScanData\UTS\ECC4\IMG\Event08845\PL018,1.0006414205634786,0.003281129587407891,-0.004442726750393486,1.0002379226187446,80393.26493898065,-254650.29973187138,200,0.5,0.14,210,70,112398.93633601273,-184402.38321763428,2043.25,112407.67073685872,-184411.023668608,2043.25,-0.0417,0.04095,31763.16,70363.65000000001
4,UTS,IMG,8845,19,j:OK,K:\NINJA\E71a\ManualCheck\ScanData\UTS\ECC4\IMG\Event08845\PL019,1.000446755788559,-0.0054454514970930035,0.0044181486630171,1.000268654920892,90417.41922032775,-255516.12997091268,200,0.5,0.14,210,70,123599.94938964432,-183481.70244457878,2045.2499999999998,123608.71539716737,-183490.31826481555,2045.2499999999998,-0.0415,0.0412,33567.6,71858.2
4,UTS,IMG,8845,20,j:OK,K:\NINJA\E71a\ManualCheck\ScanData\UTS\ECC4\IMG\Event08845\PL020,1.0002360706619067,-0.005707325983816166,0.005190060595914908,1.0003401793616344,70586.79263912396,-257423.42226538973,200,0.5,0.14,210,70,103957.3938506139,-185081.93816851664,2043.4999999999998,103966.18129271161,-185090.54777137915,2043.4999999999998,-0.0416,0.0412,33783.1,72133
4,UTS,IMG,9179,106,j:OK,K:\NINJA\E71a\ManualCheck\ScanData\UTS\ECC4\IMG\Event09179\PL106,1.0002645318799634,-0.00784503661693082,0.00748303170030679,1.00036910042613,-63360.54973771291,-101363.3072943557,200,0.5,0.14,210,70,-7542.310619472552,-76525.67092615837,1996.5,-7656.6817280625255,-76409.19136915337,1996.5,0.5401,-0.5585,55881.5,24526.9
4,UTS,IMG,10208,17,j:OK,K:\NINJA\E71a\ManualCheck\ScanData\UTS\ECC4\IMG\Event10208\PL017,1.0002957701275021,0.004072557639327614,-0.005083728679172719,1.0004471383225182,-42364.479917971774,-178080.7506196235,200,0.5,0.14,210,70,47615.51742867417,-106217.96964350471,2021,47583.36948076552,-106163.63242776728,2021,0.15409,-0.25785,89626.73,72340.41
4,UTS,IMG,10395,16,j:OK,K:\NINJA\E71a\ManualCheck\ScanData\UTS\ECC4\IMG\Event10395\PL016,1.0001608171391154,-0.008917913156823151,0.008112076165965073,1.000142617708247,-39995.08858057506,-101523.17612143235,200,0.5,0.14,210,70,44140.385104705965,-63183.55215549718,2021.9999999999998,44176.57448363224,-63051.6380460868,2005.75,-0.17789000000000002,-0.62663,84495,37780.72
4,UTS,IMG,10395,17,j:OK,K:\NINJA\E71a\ManualCheck\ScanData\UTS\ECC4\IMG\Event10395\PL017,1.000167730273713,-0.004847133519088235,0.003914552572970322,1.0004079045705574,-42254.68323762362,-102313.63492781014,200,0.5,0.14,210,70,43213.33596557434,-62271.04379835721,2025.75,43250.46258561257,-62139.277326716336,2015.25,-0.1798,-0.6265,85683.8,39822.7
4,UTS,IMG,10395,18,j:OK,K:\NINJA\E71a\ManualCheck\ScanData\UTS\ECC4\IMG\Event10395\PL018,1.000284749250762,-0.007832674124979493,0.007041487887534299,1.0002406401155701,-40097.06372795114,-100603.45494710408,200,0.5,0.14,210,70,46567.55957060773,-60318.59230659107,2038.7499999999998,46604.50491544521,-60186.35020460019,2020.4999999999998,-0.1808,-0.6283,86988.5,39795
4,UTS,IMG,10395,19,j:OK,K:\NINJA\E71a\ManualCheck\ScanData\UTS\ECC4\IMG\Event10395\PL019,1.0002535950420852,-0.00735168316991338,0.006506840362046363,1.000288278623751,-31050.713235753978,-100170.43226324196,200,0.5,0.14,210,70,57386.27639594411,-59130.76516802416,2027.4999999999998,57423.244326437394,-58998.85244405791,2027.4999999999998,-0.1806,-0.6268,88749.8,40582.4
4,UTS,IMG,10512,112,j:OK,K:\NINJA\E71a\ManualCheck\ScanData\UTS\ECC4\IMG\Event10512\PL112,1.0002856697161266,0.010279497389427218,-0.01061527867496768,1.000446319346618,-59788.84204260124,-177500.1612434967,200,0.5,0.14,210,70,-4497.437607565614,-125876.40024562311,2005.75,-4535.220847534147,-125818.11214742038,2005.75,0.1827,-0.2755,54701,52239.4
4,UTS,IMG,10512,113,j:OK,K:\NINJA\E71a\ManualCheck\ScanData\UTS\ECC4\IMG\Event10512\PL113,1.000305792191104,0.0018080715768748804,-0.0021347126176672103,1.0003972499201566,-63846.04993898662,-180030.1213522955,200,0.5,0.14,210,70,-7773.878590288439,-124972.96071644123,2012.75,-7811.521536780195,-124914.45595899859,1999,0.1797,-0.2781,55917.6,55213.1
4,UTS,IMG,10926,107,j:OK,K:\NINJA\E71a\ManualCheck\ScanData\UTS\ECC4\IMG\Event10926\PL107,1.0003541653461692,-0.006411046132862287,0.00582469277079089,1.0004192642807905,-61898.53543148217,-178268.6429427768,200,0.5,0.14,210,70,-14275.328915566606,-154624.33964889546,2029.2500000000002,-14345.943877958925,-154585.9797191881,2010.25,0.33496000000000004,-0.18454,47685.69,23395.100000000002
